"Наименование показателя","Уточненный план по состоянию на 01.06.2020 года","Кассовое исполнение по состоянию на 01.06.2020 года","% исполнения"
"Администрация Айдарского сельского поселения муниципального района "Ровеньский район" Белгородской области",,,
"Доходы всего:",9196,3944,42.9
"Собственные доходы",2681,814,30.4
"Налог на доходы физических лиц",71,25,35.2
"Земельный налог",1777,284,16
"Налог на имущество физических лиц",330,14,4.2
"Безвозмездные поступления",6515,3130,48
"Расходы всего:",9594,4104,42.8
"ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ",4324,1517,35.1
"НАЦИОНАЛЬНАЯ ОБОРОНА",197,61,31
"НАЦИОНАЛЬНАЯ БЕЗОПАСНОСТЬ И ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ",48,12,25
"НАЦИОНАЛЬНАЯ ЭКОНОМИКА",779,173,22.2
"ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО",1596,1029,64.56
"ОБРАЗОВАНИЕ",9,8,88.90000000000001
"КУЛЬТУРА, КИНЕМАТОГРАФИЯ",2641,1304,49.4
"СОЦИАЛЬНАЯ ПОЛИТИКА",,,
"Администрация Верхнесеребрянского сельского поселения муниципального района "Ровеньский район" Белгородской области",,,
"Доходы всего:",6463,2550,39.5
"Собственные доходы",1432,186,13
"Налог на доходы физических лиц",80,35,43.8
"Земельный налог",812,80,9.9
"Налог на имущество физических лиц",230,7,3
"Безвозмездные поступления",5031,2364,47
"Расходы всего:",6513,2591,39.8
"ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ",3560,1367,38.4
"НАЦИОНАЛЬНАЯ ОБОРОНА",80,27,33.8
"НАЦИОНАЛЬНАЯ БЕЗОПАСНОСТЬ И ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ",59,17,28.8
"НАЦИОНАЛЬНАЯ ЭКОНОМИКА",184,22,12
"ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО",623,257,41.3
"КУЛЬТУРА, КИНЕМАТОГРАФИЯ",2007,901,44.9
"СОЦИАЛЬНАЯ ПОЛИТИКА",,,
"Администрация Ладомировского сельского поселения муниципального района "Ровеньский район" Белгородской области",,,
"Доходы всего:",7622,3266,42.8
"Собственные доходы",1569,556,35.4
"Налог на доходы физических лиц",166,68,40.9
"Земельный налог",1266,403,31.8
"Налог на имущество физических лиц",92,1,1.1
"Безвозмездные поступления",6053,2710,44.8
"Расходы всего:",7657,2761,36.1
"ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ",4156,1392,33.5
"НАЦИОНАЛЬНАЯ ОБОРОНА",80,27,33.8
"НАЦИОНАЛЬНАЯ БЕЗОПАСНОСТЬ И ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ",46,10,21.7
"НАЦИОНАЛЬНАЯ ЭКОНОМИКА",472,35,7.4
"ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО",542,174,32.1
"КУЛЬТУРА, КИНЕМАТОГРАФИЯ",2361,1123,47.6
"СОЦИАЛЬНАЯ ПОЛИТИКА",,,
"Администрация Лознянского сельского поселения муниципального района "Ровеньский район" Белгородской области",,,
"Доходы всего:",5587,1940,34.7
"Собственные доходы",1989,390,19.6
"Налог на доходы физических лиц",41,14,34.1
"Земельный налог",762,57,7.5
"Налог на имущество физических лиц",292,18,6.2
"Безвозмездные поступления",3598,1550,
"Расходы всего:",6041,1762,29.2
"ОБЩЕГОСУДАРСТВЕННЫЕ ВОПРОСЫ",3347,993,29.7
"НАЦИОНАЛЬНАЯ ОБОРОНА",80,27,33.8
"НАЦИОНАЛЬНАЯ БЕЗОПАСНОСТЬ И ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ",5,,
"НАЦИОНАЛЬНАЯ ЭКОНОМИКА",306,24,7.8
"ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО",1065,178,16.7
"ОБРАЗОВАНИЕ",9,,
"КУЛЬТУРА, КИНЕМАТОГРАФИЯ",1229,540,43.9
"СОЦИАЛЬНАЯ ПОЛИТИКА",,,
"Администрация Лозовского сельского поселения муниципального района "Ровеньский район" Белгородской области",,,
"Доходы всего:",4600,1837,40
"Собственные доходы",1427,321,22.5
"Налог на доходы физических лиц",46,12,26.1
"Земельный налог",785,80,10.2
"Налог на имущество физических лиц",250,106,42.4
"Безвозмездные поступления",3173,1516,47.8
"Расходы всего:",4600,1670,36.3
